"TID","EN"
"string","string"
"TID_PERFORMANCE_HEAVY_WARNING_TITLE","PERFORMANCE HEAVY!"
"TID_PERFORMANCE_HEAVY_WARNING_DESC","This theme is not recommended for low-end devices.\nProceed anyway?"
"TID_PERFORMANCE_HEAVY_WARNING_CANCEL","Cancel"
"TID_PERFORMANCE_HEAVY_WARNING_PROCEED","Proceed"
"TID_AUTO_REFRESH","Auto-refresh"
"TID_ALT_FONT","USE ALTERNATE FONT FOR COUNT"
"TID_NUM_FORMAT_PREF_TITLE","NUMBER FORMATTING"
"TID_REFRESH_RATE","REFRESH RATE"
"TID_ENABLE_ANIMATIONS","ENABLE ANIMATIONS"
"TID_SUPER_SECRET_SETTINGS","Super Secret Settings"
"TID_LANGUAGE","Language"
"TID_NUM_FORMAT_PREF_NORMAL","None"
"TID_NUM_FORMAT_PREF_NORMAL_DESC","Displaying full number."
"TID_NUM_FORMAT_PREF_SHORTENED","Shortened"
"TID_NUM_FORMAT_PREF_SHORTENED_DESC","Displaying number shortened to millions, billions, etc..."
"thousand","thousand"
"million","million"
"billion","billion"
"trillion","trillion"
"quadrillion","quadrillion"
"quintillion","quintillion"
"sestillion","sestillion"
"septillion","septillion"
"octillion","octillion"
"nonillion","nonillion"
"decillion","decillion"
"vigintillion","vigintillion"
"trigintillion","trigintillion"
"quadragintillion","quadragintillion"
"quinquagintillion","quinquagintillion"
"sesagintillion","sesagintillion"
"septuagintillion","septuagintillion"
"octogintillion","octogintillion"
"nonagintillion","nonagintillion"
"un","un"
"duo","duo"
"tre","tre"
"quattuor","quattuor"
"quin","quin"
"ses","ses"
"septen","septen"
"octo","octo"
"novem","novem"
"TID_NUM_FORMAT_PREF_SUPERSHORTENED","Extra-shortened"
"TID_NUM_FORMAT_PREF_SUPERSHORTENED_DESC","Displaying millions as M's, billions as B's, etc..."
"k","k"
"M","M"
"B","B"
"T","T"
"Qa","Qa"
"Qi","Qi"
"Sx","Sx"
"Sp","Sp"
"Oc","Oc"
"No","No"
"Un","Un"
"Do","Do"
"Tr","Tr"
"Dec","Dec"
"Vgt","Vgt"
"Trgt","Trgt"
"Qagt","Qagt"
"QiQgt","QiQgt"
"Sxagt","Sxagt"
"SpTgt","SpTgt"
"OcTgt","OcTgt"
"NoNgt","NoNgt"
"TID_ESTIMATED_TIME","ETA: <TIME>"
"TID_DAYS","d"
"TID_DAYS_LONG"," days"
"TID_DAYS_LONG_SINGULAR"," day"
"TID_HOURS","h"
"TID_HOURS_LONG"," hours"
"TID_HOURS_LONG_SINGULAR"," hour"
"TID_MINUTES","m"
"TID_MINUTES_LONG"," minutes"
"TID_MINUTES_LONG_SINGULAR"," minute"
"TID_SECONDS","s"
"TID_SECONDS_LONG"," seconds"
"TID_SECONDS_LONG_SINGULAR"," second"
"TID_ABOUT_TITLE","ABOUT"
"TID_ABOUT_BUILD","Build <VERSION>"
"TID_ABOUT_UPDATED_ON","Last updated <DATE>"
"TID_ABOUT_DESC","Special thanks to xale for the contributions! (And also the one who discovered the API for it)"
"TID_ABOUT_GITHUB_REPO_BUTTON","GitHub repository"
"TID_DISCLAIMER_FAN_CONTENT_POLICY","This material is unofficial and is not endorsed by Supercell.\nFor more information see Supercell's Fan Content Policy:"
"TID_DISCLAIMER_FAN_CONTENT_POLICY_LINK","www.supercell.com/fan-content-policy"
"TID_DISCLAIMER_FAN_CONTENT_POLICY_BUTTON","Fan Content Policy (opens in browser)"
